//Injector,Name,Area,LoadFlag,Link,MaxMw,MinMw,RaiseRR,LowerRR,RampCapOnly,EnergyCost,CostAdder,RampUpCost,RampDnCost
215_CT_4,,2,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
215_CT_5,,2,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
216_STEAM_1,,2,0,0,155.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
218_CC_1,,2,0,0,355.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
221_CC_1,,2,0,0,355.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
223_STEAM_1,,2,0,0,155.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
223_STEAM_2,,2,0,0,155.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
223_STEAM_3,,2,0,0,350.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
223_CT_4,,2,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
223_CT_5,,2,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
223_CT_6,,2,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
301_CT_1,,3,0,0,20.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
301_CT_2,,3,0,0,20.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
301_CT_3,,3,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
301_CT_4,,3,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
302_CT_1,,3,0,0,20.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
302_CT_2,,3,0,0,20.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
302_CT_3,,3,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
302_CT_4,,3,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
307_CT_1,,3,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
307_CT_2,,3,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
313_CC_1,,3,0,0,355.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
315_STEAM_1,,3,0,0,12.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
315_STEAM_2,,3,0,0,12.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
315_STEAM_3,,3,0,0,12.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
315_STEAM_4,,3,0,0,12.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
315_STEAM_5,,3,0,0,12.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
315_CT_6,,3,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
315_CT_7,,3,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
315_CT_8,,3,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
316_STEAM_1,,3,0,0,155.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
318_CC_1,,3,0,0,355.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
321_CC_1,,3,0,0,355.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
322_CT_5,,3,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
322_CT_6,,3,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
323_CC_1,,3,0,0,355.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
323_CC_2,,3,0,0,355.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
121_NUCLEAR_1,,1,0,0,400.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
122_HYDRO_1,,1,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
122_HYDRO_2,,1,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
122_HYDRO_3,,1,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
122_HYDRO_4,,1,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
122_HYDRO_5,,1,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
122_HYDRO_6,,1,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
201_HYDRO_4,,2,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
215_HYDRO_1,,2,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
215_HYDRO_2,,2,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
215_HYDRO_3,,2,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
222_HYDRO_1,,2,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
222_HYDRO_2,,2,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
222_HYDRO_3,,2,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
222_HYDRO_4,,2,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
222_HYDRO_5,,2,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
222_HYDRO_6,,2,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
322_HYDRO_1,,3,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
322_HYDRO_2,,3,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
322_HYDRO_3,,3,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
322_HYDRO_4,,3,0,0,50.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
320_PV_1,,3,0,0,51.600,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
314_PV_1,,3,0,0,51.600,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
314_PV_2,,3,0,0,51.600,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
313_PV_1,,3,0,0,95.100,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
314_PV_3,,3,0,0,92.700,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
314_PV_4,,3,0,0,51.600,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
313_PV_2,,3,0,0,93.300,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
310_PV_1,,3,0,0,51.700,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
324_PV_1,,3,0,0,49.700,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
312_PV_1,,3,0,0,94.100,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
310_PV_2,,3,0,0,51.600,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
324_PV_2,,3,0,0,51.600,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
324_PV_3,,3,0,0,51.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
113_PV_1,,1,0,0,93.600,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
319_PV_1,,3,0,0,188.200,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
215_PV_1,,2,0,0,125.100,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
102_PV_1,,1,0,0,25.600,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
101_PV_1,,1,0,0,25.900,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
102_PV_2,,1,0,0,25.300,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
104_PV_1,,1,0,0,26.800,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
212_CSP_1,,2,0,0,200.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
101_PV_2,,1,0,0,26.700,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
101_PV_3,,1,0,0,26.200,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
101_PV_4,,1,0,0,25.800,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
103_PV_1,,1,0,0,61.500,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
119_PV_1,,1,0,0,66.600,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
308_RTPV_1,,3,0,0,100.900,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
313_RTPV_1,,3,0,0,101.700,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
313_RTPV_2,,3,0,0,63.100,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
313_RTPV_3,,3,0,0,65.400,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
313_RTPV_4,,3,0,0,67.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
313_RTPV_5,,3,0,0,64.800,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
313_RTPV_6,,3,0,0,63.800,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
313_RTPV_7,,3,0,0,64.100,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
313_RTPV_8,,3,0,0,66.600,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
313_RTPV_9,,3,0,0,62.400,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
313_RTPV_10,,3,0,0,66.900,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
313_RTPV_11,,3,0,0,65.200,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
313_RTPV_12,,3,0,0,27.800,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
320_RTPV_1,,3,0,0,27.300,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
320_RTPV_2,,3,0,0,27.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
320_RTPV_3,,3,0,0,28.300,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
313_RTPV_13,,3,0,0,27.200,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
320_RTPV_4,,3,0,0,27.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
320_RTPV_5,,3,0,0,28.200,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
118_RTPV_1,,1,0,0,9.300,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
118_RTPV_2,,1,0,0,9.700,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
118_RTPV_3,,1,0,0,9.400,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
118_RTPV_4,,1,0,0,9.100,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
118_RTPV_5,,1,0,0,9.100,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
118_RTPV_6,,1,0,0,9.700,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
320_RTPV_6,,3,0,0,9.400,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
118_RTPV_7,,1,0,0,11.800,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
118_RTPV_8,,1,0,0,11.200,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
118_RTPV_9,,1,0,0,10.300,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
118_RTPV_10,,1,0,0,4.500,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
213_RTPV_1,,2,0,0,13.200,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
309_WIND_1,,3,0,0,148.300,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
317_WIND_1,,3,0,0,799.100,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
303_WIND_1,,3,0,0,847.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
122_WIND_1,,1,0,0,713.500,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
313_STORAGE_1,,3,0,0,50.000,-50.000,0.000,0.000,0,0.000,0.000,0.000,0.000
101_EV,,1,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
102_EV,,1,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
103_EV,,1,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
104_EV,,1,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
105_EV,,1,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
106_EV,,1,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
107_EV,,1,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
108_EV,,1,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
109_EV,,1,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
110_EV,,1,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
113_EV,,1,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
114_EV,,1,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
115_EV,,1,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
116_EV,,1,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
118_EV,,1,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
119_EV,,1,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
120_EV,,1,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
201_EV,,2,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
202_EV,,2,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
203_EV,,2,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
204_EV,,2,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
205_EV,,2,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
206_EV,,2,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
207_EV,,2,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
208_EV,,2,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
209_EV,,2,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
210_EV,,2,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
213_EV,,2,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
214_EV,,2,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
215_EV,,2,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
216_EV,,2,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
218_EV,,2,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
219_EV,,2,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
220_EV,,2,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
301_EV,,3,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
302_EV,,3,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
303_EV,,3,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
304_EV,,3,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
305_EV,,3,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
306_EV,,3,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
307_EV,,3,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
308_EV,,3,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
309_EV,,3,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
310_EV,,3,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
313_EV,,3,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
314_EV,,3,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
315_EV,,3,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
316_EV,,3,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
318_EV,,3,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
319_EV,,3,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
320_EV,,3,1,0,400.000,0.000,400.000,400.000,0,0.000,0.000,0.000,0.000
//EOF
