//Scenario,Injector,AvgMin,Enforce,ScaleFactor,Schedule,10p,20p,30p
ScnHA,315_EV,0,0,0.363,Evload_RT,0.121,0.242,0.363
ScnHA,316_EV,0,0,0.114,Evload_RT,0.038,0.076,0.114
ScnHA,318_EV,0,0,0.381,Evload_RT,0.127,0.254,0.381
ScnHA,319_EV,0,0,0.207,Evload_RT,0.069,0.138,0.207
ScnHA,320_EV,0,0,0.147,Evload_RT,0.049,0.098,0.147
ScnRT,101_EV,0,0,0.063,Evload_RT,0.021,0.042,0.063
ScnRT,102_EV,0,0,0.057,Evload_RT,0.019,0.038,0.057
ScnRT,103_EV,0,0,0.102,Evload_RT,0.034,0.068,0.102
ScnRT,104_EV,0,0,0.042,Evload_RT,0.014,0.028,0.042
ScnRT,105_EV,0,0,0.042,Evload_RT,0.014,0.028,0.042
ScnRT,106_EV,0,0,0.078,Evload_RT,0.026,0.052,0.078
ScnRT,107_EV,0,0,0.072,Evload_RT,0.024,0.048,0.072
ScnRT,108_EV,0,0,0.096,Evload_RT,0.032,0.064,0.096
ScnRT,109_EV,0,0,0.099,Evload_RT,0.033,0.066,0.099
ScnRT,110_EV,0,0,0.111,Evload_RT,0.037,0.074,0.111
ScnRT,113_EV,0,0,0.15,Evload_RT,0.05,0.1,0.15
ScnRT,114_EV,0,0,0.111,Evload_RT,0.037,0.074,0.111
ScnRT,115_EV,0,0,0.18,Evload_RT,0.06,0.12,0.18
ScnRT,116_EV,0,0,0.057,Evload_RT,0.019,0.038,0.057
ScnRT,118_EV,0,0,0.189,Evload_RT,0.063,0.126,0.189
ScnRT,119_EV,0,0,0.102,Evload_RT,0.034,0.068,0.102
ScnRT,120_EV,0,0,0.072,Evload_RT,0.024,0.048,0.072
ScnRT,201_EV,0,0,0.048,Evload_RT,0.016,0.032,0.048
ScnRT,202_EV,0,0,0.045,Evload_RT,0.015,0.03,0.045
ScnRT,203_EV,0,0,0.081,Evload_RT,0.027,0.054,0.081
ScnRT,204_EV,0,0,0.033,Evload_RT,0.011,0.022,0.033
ScnRT,205_EV,0,0,0.033,Evload_RT,0.011,0.022,0.033
ScnRT,206_EV,0,0,0.06,Evload_RT,0.02,0.04,0.06
ScnRT,207_EV,0,0,0.057,Evload_RT,0.019,0.038,0.057
ScnRT,208_EV,0,0,0.078,Evload_RT,0.026,0.052,0.078
ScnRT,209_EV,0,0,0.078,Evload_RT,0.026,0.052,0.078
ScnRT,210_EV,0,0,0.087,Evload_RT,0.029,0.058,0.087
ScnRT,213_EV,0,0,0.117,Evload_RT,0.039,0.078,0.117
ScnRT,214_EV,0,0,0.087,Evload_RT,0.029,0.058,0.087
ScnRT,215_EV,0,0,0.141,Evload_RT,0.047,0.094,0.141
ScnRT,216_EV,0,0,0.045,Evload_RT,0.015,0.03,0.045
ScnRT,218_EV,0,0,0.147,Evload_RT,0.049,0.098,0.147
ScnRT,219_EV,0,0,0.081,Evload_RT,0.027,0.054,0.081
ScnRT,220_EV,0,0,0.057,Evload_RT,0.019,0.038,0.057
ScnRT,301_EV,0,0,0.126,Evload_RT,0.042,0.084,0.126
ScnRT,302_EV,0,0,0.111,Evload_RT,0.037,0.074,0.111
ScnRT,303_EV,0,0,0.207,Evload_RT,0.069,0.138,0.207
ScnRT,304_EV,0,0,0.087,Evload_RT,0.029,0.058,0.087
ScnRT,305_EV,0,0,0.081,Evload_RT,0.027,0.054,0.081
ScnRT,306_EV,0,0,0.156,Evload_RT,0.052,0.104,0.156
ScnRT,307_EV,0,0,0.144,Evload_RT,0.048,0.096,0.144
ScnRT,308_EV,0,0,0.195,Evload_RT,0.065,0.13,0.195
ScnRT,309_EV,0,0,0.201,Evload_RT,0.067,0.134,0.201
ScnRT,310_EV,0,0,0.225,Evload_RT,0.075,0.15,0.225
ScnRT,313_EV,0,0,0.303,Evload_RT,0.101,0.202,0.303
ScnRT,314_EV,0,0,0.222,Evload_RT,0.074,0.148,0.222
ScnRT,315_EV,0,0,0.363,Evload_RT,0.121,0.242,0.363
ScnRT,316_EV,0,0,0.114,Evload_RT,0.038,0.076,0.114
ScnRT,318_EV,0,0,0.381,Evload_RT,0.127,0.254,0.381
ScnRT,319_EV,0,0,0.207,Evload_RT,0.069,0.138,0.207
ScnRT,320_EV,0,0,0.147,Evload_RT,0.049,0.098,0.147
//EOF,,,,,,,,
